recording_id,duration,conversation_detected,conversation_confidence,caller_has_speech,receiver_has_speech,caller_speech_duration,receiver_speech_duration,turn_switches,snr_db,is_mono
0732fdc7f31bb1341950699689e1195j,17.85975,True,0.817425431711146,True,True,10.749374999999993,1.8731249999999982,6,91.66117858886719,False
88fa4412e14dc154b7ec9928d44d195q,8.34,True,0.9912071748878923,True,True,3.7631250000000005,2.4806250000000016,5,105.53738403320312,False
ac6e723358cf59a2ab442c40b267195n,30.43975,True,0.98532,True,True,6.328125000000002,6.125625,8,99.28404235839844,False
f2f9fe83b463a69154fe49b460ec195m,25.7,True,1.0,True,True,10.074375,5.416875000000006,9,105.52287292480469,False
2f307347e74244f7fa07fb023f99195j,7.93975,False,0.2,False,True,0,0.8943750000000008,0,91.7160415649414,False
26b9dcf1cb34c70e936bf3d54b80195e,14.74,False,0.5551523961661341,True,False,5.281875000000001,1.9406249999999985,5,100.0374755859375,False
807e40b7f19028ee0b68a27b83e4195g,50.2,True,1.0,True,True,9.466875,12.926249999999998,13,102.35069274902344,False
e9371f2ac394177fd2f16329f666195j,16.25975,True,1.0,True,True,6.3618749999999995,3.763124999999997,6,103.034423828125,False
02cc568f1c2c06a70e31131b852d195o,704.18,True,0.961384791248628,True,True,481.9837500000005,147.04875000000072,157,111.280029296875,False
c35d80ce95ee854d1fc2c114cb28195e,8.17975,False,0.1,False,True,0,0.6412499999999994,0,91.45075988769531,False
244ccf77d7885e593e4c61538d1a195p,58.61975,True,1.0,True,True,21.954375000000006,14.006250000000001,19,99.06210327148438,False
ec3d88029dba75e9e9d38f818407195n,94.51975,True,1.0,True,True,40.28062500000002,24.38437500000001,19,103.44224548339844,False
4e2c132c3304faf0e1512a7bb09b195g,19.51975,True,0.9682004208127871,True,True,6.733125000000003,2.851875000000001,6,98.88741302490234,False
88d45bf2cd2dd6c125eaf0987b75195l,40.45975,True,1.0,True,True,9.348749999999999,9.618749999999999,18,105.63540649414062,False
74620f040a312084ee8a35af46e4195d,4.12,False,0.6471768810679612,True,True,0.16875000000000018,1.7381250000000004,1,96.41449737548828,False
f6f5c773ca5f3eaa0536aafc149a195q,30.95975,True,0.9325889698231008,True,True,16.216875000000005,14.748750000000001,12,103.97273254394531,False
614f887ea7e2d0dbdfc6d0b5a45a195g,127.45975,True,1.0,True,True,72.14062500000001,31.353750000000034,36,105.05784606933594,False
568f3c56a9969916f9c2e5f89665195q,17.89975,True,0.9625795403334835,True,True,3.6618749999999993,5.349374999999997,7,103.01895904541016,False
75602c789359e9523cafa02e43d9195q,18.83975,True,1.0,True,True,8.910000000000004,3.223125000000005,6,102.74349975585938,False
60985251c6037fe49ec0d9cc0cc0195l,13.61975,False,0.2,False,False,0,0.708750000000002,0,69.73975372314453,False
8d56f9eddde6de72d2aa3e3368bf195c,3.64,False,0.6325,True,True,3.24,1.1643750000000002,1,89.74556732177734,False
a1f80e12fa336c4661c272cde25d195e,25.69975,True,0.9203519916142557,True,True,16.09875000000001,8.420625000000005,10,109.08875274658203,False
ac16d5ad027becc97662079834a1195e,13.0,True,1.0,True,True,3.0375000000000014,4.201875000000003,4,99.77487182617188,False
8ca363a3d2dfce80817a8c1f3735195m,20.37975,True,1.0,True,True,10.749375000000004,4.96125,8,100.88729858398438,False
2b5c9f3446ffcf9bb159d4b3c8c6195m,30.64,True,0.9347927651747394,True,True,19.659375,8.7075,7,101.94374084472656,False
a8b23cbe5c22b62f949d653c15b2195p,10.93975,False,0.4,True,False,8.926874999999999,0.354375,1,109.64811706542969,False
72a2932a7ade01f1a2eeeedd9c73195n,12.78,True,1.0,True,True,3.4256249999999993,3.4762499999999994,7,97.88691711425781,False
ff4291fb0282c0d3c4629b8b4690195e,7.57975,False,0.2,False,True,0.20250000000000057,0.4556249999999995,1,95.449951171875,False
c945827b1331749caa8a8ef9fdef195n,17.496,True,0.7,True,True,10.462500000000004,10.462500000000004,7,101.53639221191406,True
52fc0b19a949172340df4c0204a5195q,5.42,True,0.9958999999999999,True,True,2.5312499999999996,1.1643750000000002,2,104.80614471435547,False
6995079980927f41ea2d08ce0396195c,6.539875,False,0.2,False,True,0,2.835000000000001,0,96.38850402832031,False
f99c7a11267a91b7a9f3fef9dafe195o,27.83975,True,1.0,True,True,6.395625000000003,7.374375000000002,10,106.11051940917969,False
3f41b1e614075d2defded2ed0958195j,13.64,True,0.8274390243902439,True,True,8.3025,2.278124999999999,4,107.55323791503906,False
c10dfbdb664d975e488fa9aff2fd195n,25.19975,True,1.0,True,True,4.303125,10.42875,7,96.35771942138672,False
ccffb0acacc703b214b5d33d73af195k,5.41975,False,0.2,True,False,4.55625,0,0,112.5300521850586,False
3e072e7ac727a9c4a2507915050d195d,10.82,False,0.5309343684613004,True,True,6.648750000000003,0.38812500000000005,1,98.41368865966797,False
a317d61189ed183074ffe01c9c45195k,6.839875,False,0.2,True,False,0.6243749999999999,0,0,89.72567749023438,False
26a53128486a61b62e0ddc4db424195j,19.14,True,0.7995121951219513,True,True,13.837499999999997,3.3918750000000006,8,103.33187866210938,False
dceecc1322ef13679e63be6df6e4195g,17.01975,False,0.4117391304347825,False,True,1.1981249999999992,1.9406250000000032,2,96.69749450683594,False
